PlayBGM,ADV_wonder
SetCharacter_B,黒影　零司
SetCharacter_C,知鳴　朔人
SetSpeakTiming,0
Speak_B,来たか、お疲れ。
Speak_C,お疲れ様です！
Speak_B,うんうん、元気があって何よりだ。
Speak_B,最近、知鳴君は落ち込んでいると聞いて|いたが大丈夫そうだな。
Speak_C,それで、俺たちが呼ばれた理由を|お伺いしても？
Speak_B,おっと、失礼。本題を忘れていた。
Speak_B,君たちの業務への姿勢が認められ、本日から管理する区画が増えることとなった。
Speak_C,えっと、任せる対象は本当に俺たちで|合ってますか？
Speak_B,間違いないぞ。それほど君たちが優秀というわけだ。
Speak_B,短い期間でここまで出来る人材も、|指で数える程しかいない。
Speak_B,それに伴って、報酬の方も上がるからな。
Speak_B,それと、残念な知らせとして、|この話は強制らしい。
Speak_B,上に掛け合ってはみたが、どうも|止められないとな。
Speak_B,君たちに選択肢がないのは申し訳ないが、|よろしく頼むよ。
Speak_C,承知、いたしました……。
Speak_C,くっ。意外と激務なのに、区画が増える|だなんて……。
Speak_B,申し訳ない。君たちには苦労を掛けるよ。
Speak_B,だが、区画が増えても行うことは何も|変わらない。
Speak_B,焦らずに1つ1つ業務をこなしていって|ほしい。
Speak_B,君たちを信頼しているよ。|応援しているぞ。
SetCharacter_D,アナウンス
Speak_D,ピィー……ッガガ。
Speak_D,――月10日。|本日の運送業務を開始します。
RemoveCharacter_D,
Speak_B,もうこんな時間か。
Speak_B,では、二人ともよろしく頼むよ。
Speak_C,じゃ、行こうか！
End,
