PlayBGM_ADV_wonder,
SetCharacter_A,黒影　零司
SetSpeakTiming,0
Speak_A,お疲れ。本日もよろしく頼むよ。
Speak_A,質問があるのか？私が知っていることなら|何でも応えよう。
Speak_A,――――なるほど、この場所についてか。
Speak_A,ふむ……。そうだな……。
Speak_A,ではまず、我々が誰に配達をしているのかを知ってもらおう。
Speak_A,君も資料で確認はしたと思うが、|我々が相手をしているのは人間ではない。
Speak_A,あれは「シナー」と呼ばれる存在だ。
Speak_A,ある程度資料は作成されているが|まだまだ謎が多い。
Speak_A,そして、質問の本命であるこの場所の名前は「ヘリオス隔離区画」。
Speak_A,シナーが人々の住む場所から隔離されたのがここというわけだ。
Speak_A,その特徴は、何と言っても|この街の「色」だな。
Speak_A,見れば一目瞭然だろうが、この街は|白と黒の二色がメインとなっている。
Speak_A,これについては、シナーに必要以上の刺激を与えないため、ということらしい。
Speak_A,となればだ。シナーは少なくとも危ない存在であるということにもなる。
Speak_A,しっかりと資料を確認し、それぞれの|シナーに必要な対応を行ってくれ。
Speak_A,質問の答えとしてはこんなもので大丈夫か？
SetCharacter_D,アナウンス
Speak_D,ピィー…ッガガ。
Speak_D,――月2日。|本日の運送業務を開始します。
RemoveCharacter_D,
Speak_A,おっとすまない。|まだまだ知りたいことはあるだろうが|今日はここまでのようだ。
Speak_A,では、本日も業務開始とするか。
End,
