SetCharacter_A,同僚B
SetSpeakTiming,0
Speak_A,あっ先輩、来たんですね！
Speak_A,先程、上司さんからヘリオス全域で異変が|起きているとの連絡がありまして……。
Speak_A,――――いえ、今のところ実害は無い|異変のようです。
Speak_A,その……異変というのは、強風が吹いているとのことです。
Speak_A,本来、ヘリオスでは天候の変化は見られないので、異変自体は分かりやすい部類ですね。
Speak_A,シナーの影響によるものとは考えられては|いますが、詳細は不明だそうです……。
Speak_A,解析班が奮闘しているそうですが、|時間がかかるようで……。
Speak_A,………………。
Speak_A,業務には何の影響もないらしいですし、|あまり気にかけることではないですが……。
Speak_A,もし仮にシナーの影響だとして、これだけの規模に影響を及ぼしているとしたら……。
Speak_A,それだけ危険視しなければならない存在に|なりそうですね。
Speak_A,ふぅ……。こんなことはあまり考えたくは|ないですね……。
Speak_A,それに……。あまり関係ないと思いますが、最近は何かと物騒で嫌になりますね。
Speak_A,ニュースでは傷害事件が連日起きているとの報道もありましたし。
Speak_A,NETでも人を傷つけるような内容が多々|見受けられるようになりましたし。
Speak_A,降れば土砂降りと言いますが、これ以上|事が重ならなければいいのですが……。
Speak_A,……いえ、私の杞憂ですね。|忘れてください。
Speak_A,何か分かるまで私たちは目の前のことを。
Speak_A,私たちにできることを1つ1つ対処して|いきましょう。
SetCharacter_D,アナウンス
Speak_D,ピィー…ッガガ。
Speak_D,――月22日。|本日の運送業務を開始します。
RemoveCharacter_D,
Speak_A,では、先輩。行きましょう。
End,
