PlayBGM,ADV_despair
SetCharacter_B,黒影　零司
SetCharacter_C,色織　叶芽
SetSpeakTiming,0
Speak_C,……先輩、お疲れ様です。
Speak_B,来たか、お疲れ。
Speak_C,本日は早めに来ていただき|ありがとうございます。
Speak_C,早速ですが、本題に入ろうと思います。
Speak_C,私……いえ、私たちの目的は、不審死の|根本的原因の究明とその解決策、|この2つを探る事です。
Speak_C,その理由としては、昨日お話したことが|私の考えのほとんどです。
Speak_B,私たちの総意として、人が死んでいくことを|黙って見ているだけは嫌ということだ。
Speak_C,次に不審死についてです。これは、先輩も|薄々感じているかもしれませんが、|シナーが関係しているのではないか、|ということです。
Speak_C,これについては……知鳴さんの件を|思い出していただけると分かり易いと|思います。
Speak_C,私たちが行う業務において、シナーの異常を発生させてしまうと、身体的、精神的な影響を受けます。
Speak_C,その影響が重度なものとなると最悪の場合、死に導かれてしまうというのが大まかな流れとなっていると考えています。
Speak_C,これがヘリオス内部だけの話で済めばいいのですが、あちらにまで干渉してしまっているというのも問題です。
Speak_B,この問題は、我々オペレーションチームが|精神的な影響を受けるという問題が、|世界規模でも起こっていると考えても|差し支えないだろう。
Speak_B,そこで我々は、不審死は主に精神に影響を|与えるシナー限定と仮説を立ている。
Speak_B,が、あくまで仮説だ。|その実情は計り知れん。
Speak_C,これらの解決策を講じるためにも、まずは|不審死の原理やその法則を特定することが|第一の目標となっています。
Speak_B,だが、いくつか懸念点がある。
Speak_B,まず1つは、新型のシナーがいつ活動を|再開するかということだ。
Speak_B,資料がまだ届いていないこともあり、未だ|対応策がわからないのも問題だが……。
Speak_B,我々は通常通り業務を行うことこそが|今できる最大の対策だ。
Speak_B,あれだけの被害を発生させた、|非常に危険性の高いシナーだ。|気を付けるに越したことはない。
Speak_C,先輩、ここまでのお話で疑問点は|ありますか？
Speak_C,他の社員にも呼びかけをしないのか……|ですか。
Speak_B,……ふむ。真っ当な疑問だな。|それについては私が答えよう。
Speak_B,単刀直入に言えば、我々の命にかかわる問題だからだ。
Speak_B,一度、改めて考えてみてほしい。
Speak_B,彼の件のような事例が起きたのに、なぜ|このことがニュースなどで世間の目の前に|さらされないのか。
Speak_B,おそらくだが、上層部がその事実を|もみ消している。
Speak_B,我々が今いる場所は、|名の通りの「隔離区画」。
Speak_B,中から外を観測することはできないし、|外から中を観測することはできない。
Speak_B,そうとなれば、誰かの目に触れられる前に|事実を書き換えることだって可能である、|まさに奴らとしてはうってつけの場所だ。
Speak_B,会社にの意に背くもの、不利益を生む|不安分子は消したほうがリスク的には低いということなのだろう。
Speak_B,といっても、袋叩きにするために泳がされているのも否めないがな……。
Speak_B,ということもあって、周りの人間や上層部に|あまり信頼を置くことができず、|大所帯で動くことができないというわけだ。
Speak_B,文字通りいつでも首をきれるように|目を光らせているからな。
SetCharacter_D,アナウンス
Speak_D,ピィー……ッガガ。
Speak_D,――月26日。|本日の運送業務を開始します。
Speak_B,もうこんな時間か。一応言っておくが|この話は他言無用で頼むよ。
Speak_C,では先輩、今日もよろしくお願いしますね。
End,
