PlayBGM_ADV_everyday,
SetCharacter_A,黒影　零司
SetSpeakTiming,0
Speak_A,お疲れ。業務の調子はどうだ？
Speak_A,上手くやっていけそうだろうか？
Speak_A,今のところは大丈夫なようだな。|それならいい。
Speak_A,こちらも意地の悪い質問をした。|申し訳ない。
Speak_A,と言っても、だ。
Speak_A,正直なところ、業務を遂行できる人が|増えることは大いに助かる話でね。
Speak_A,君にもいち早く業務に慣れてほしいものだ。
Speak_A,だが、焦りはミスを呼ぶからね。
Speak_A,慎重に素早く、正確に。
Speak_A,自分のペースで仕事をこなしていって|ほしい。
Speak_A,今後の活躍を期待しているよ。
Speak_A,それはそうと、今日が研修期間の最終日だ。
Speak_A,本当に短い期間だったが、|おそらく君なら問題ないだろう。
Speak_A,なに、私の勘というやつだ。
SetCharacter_D,アナウンス
Speak_D,ピィー……ッガガ。
Speak_D,――月3日。|本日の運送業務を開始します。
RemoveCharacter_D,
Speak_A,ふむ。では今日も張り切って行こうか。
End,
