PlayBGM,ADV_danger
SetCharacter_A,色織　叶芽
SetSpeakTiming,0
Speak_A,先輩、やっとこの日が来ましたね。
Speak_A,本日は、あの新型のシナーが|活動を再開する日です。
Speak_A,体調のほうは大丈夫ですか？
Speak_A,大丈夫そうですね。よかったです。
Speak_A,――どうかしましたか？えっと、上司さんは見なかったか、ですか。
Speak_A,…………そうですね。私のほうにも何も|連絡はないですね。
Speak_A,……ですが、上司さんはきっと裏から|私たちをサポートしてくれるはずです。
Speak_A,私たちは、私たちのできることを。
Speak_A,長時間の決戦は私たちにとって、|分の悪い戦いです。
Speak_A,早期決着を目指し、優先順位を見極めて業務にあたりましょう。
Speak_A,いつもとは打って変わって忙しくなると|思いますが、私たちなら大丈夫なはずです。
Speak_A,1つ1つ冷静に、かつ確実に|対処していきましょう。
SetCharacter_D,アナウンス
Speak_D,ピィー……ッガガ。
Speak_D,――月30日。|本日の運送業務を開始します。
Speak_A,本日はいつもより早いですね……。
Speak_A,ということは、あのシナーが活動を再開したのでしょう。
Speak_A,ふーー……。よしっ！
Speak_A,先輩。私も全力でサポートをさせて|いただきます！
Speak_A,では、私たち、いえ……みんなの明日を守る戦いへ向かいましょう！
End,
