PlayBGM,ADV_everyday
SetCharacter_A,知鳴　朔人
SetSpeakTiming,0
Speak_A,……ふわぁ……ん、んん。お疲れ～。
Speak_A,ん？あくびなんか珍しいって？
Speak_A,そういうあんたも、|少し遅かったじゃないか。
Speak_A,あんたも、あんまり疲れが|取れてないんだろ～?
Speak_A,まあ、最近になって仕事が増えてきた|気がするしな。
Speak_A,そう思うだろ？最初は数件だったのが、|明らかに増えてきた気がするわ。
Speak_A,時間が経てば増えるのは分かるが、|まだ俺ら1週間くらいだぜ？
Speak_A,もうちょっと手心というか、|楽な仕事というかを…。
Speak_A,それに、その……、仕事量イコール信頼って|感じで考えちまうせいもあって、結構な|プレッシャーだったりするんだよなぁ。
Speak_A,なんて、言っててもどうにもならないから|頑張るしかないんだけどな。
Speak_A,このまま仕事が増え続けるくらいなら、|もう少しお金をくれてもいいんだけどなっ。
Speak_A,なんだよ、その顔は。
Speak_A,自分を安心させるために金を稼ぐ！|それが俺の頑張る理由！
Speak_A,俺はそういう人間だって言ったろ。
Speak_A,とはいえ、頑張る為にも、もうすこ～し|睡眠時間が欲しいわ…。
Speak_A,それも無理なら……|コーヒー飲んでみようかな。
SetCharacter_D,アナウンス
Speak_D,ピィー……ッガガ。
Speak_D,――月7日。|本日の運送業務を開始します。
RemoveCharacter_D,
Speak_A,はぁ……。そんな時間はないらしい……。
Speak_A,でもまあ、今日も頑張るとするか。
End,
