0,0,12,10,9,2_90,7,6,0,13,2_90,0,6,6,6,7,10,11,0,0,0
2_0,4_180,2_0,2_0,2_0,5_0,2_0,2_0,2_0,2_0,4_90,0,0,14,14,14,7,8,0,0,0
8,2_90,7,12,6,2_90,6,0,0,6,2_90,0,0,3_270,2_0,2_0,2_0,10,0,2_90,12
8,2_90,7,0,9,2_90,6,7,17,2_0,4_90,6,0,2_90,6,0,9,9,13,2_90,0
22,22,6,0,0,3_0,3_180,0,8,7,2_90,6,7,2_90,7,0,0,0,15,2_90,0
22,22,2_90,6,0,6,3_0,2_0,2_0,2_0,5_0,2_0,2_0,4_0,2_0,2_0,2_0,3_180,14,2_90,7
8,13,2_90,13,13,6,6,16,16,6,2_90,6,15,16,16,7,6,2_90,6,2_90,7
2_0,2_0,5_0,2_0,4_180,2_0,2_0,4_180,2_0,2_0,5_0,2_0,2_0,2_0,2_0,2_0,2_0,5_0,2_0,4_0,2_0
6,9,2_90,12,2_90,6,0,2_90,7,0,2_90,15,8,7,7,0,6,2_90,6,17,0
8,9,2_90,9,2_90,0,0,2_90,0,0,2_90,15,8,3_270,2_0,18,0,2_90,7,0,0
7,10,18,11,2_90,0,7,2_90,8,6,2_90,16,8,2_90,7,0,7,2_90,0,0,0
6,6,8,7,3_0,2_0,2_0,4_0,2_0,2_0,5_0,2_0,2_0,4_0,2_0,2_0,2_0,4_90,0,0,0
3_180,8,12,6,7,8,12,11,10,6,2_90,6,7,7,7,7,7,2_90,18,0,0
3_0,2_0,3_180,6,7,8,8,8,7,6,2_90,7,8,8,8,8,6,2_90,6,0,6
0,0,3_0,2_0,2_0,2_0,2_0,2_0,2_0,2_0,4_90,6,7,8,7,6,6,2_90,6,7,6
X,0,0,19,19,0,X,X,0,0,3_0,2_0,2_0,2_0,2_0,3_180,6,2_90,9,11,8
X,X,X,0,0,X,X,X,X,0,X,X,0,0,0,3_0,2_0,4_0,2_0,3_180,9
X,X,X,X,X,X,X,X,X,X,X,X,X,0,X,0,0,0,0,2_90,10
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,3_0,2_0
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,0
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,0
